신우편번호,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,경도,위도,업종구분
21391.0,12124344,부평귀금속도매센터롯데보석,,D,소매,D26,시계/귀금속소매,D26A01,시계/귀금속,G47830,시계 및 귀금속 소매업,126.726558365947,37.4949801599281,소매업
21394.0,12104941,컴컴피씨카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.725355032317,37.4939219851048,외식업
21422.0,12214670,iTe태권도,,R,학문/교육,R07,학원-예능취미체육,R07A20,태권도장,P85611,스포츠 교육기관,126.741358556987,37.4823350960637,서비스업
21453.0,12120607,참치뱅크,,Q,음식,Q03,일식/수산물,Q03A04,참치전문점,I56113,일식 음식점업,126.700435773569,37.4695208591475,외식업
21356.0,12169038,뉴삼성부동산공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,126.728858839942,37.5033665046831,서비스업
21321.0,12126402,세븐일레븐,인천삼산본점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.744824512037,37.5184493008551,소매업
21392.0,12180171,드림부동산공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,126.729416291755,37.4944973467387,서비스업
21439.0,12161681,중앙공단부동산중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,126.704676964793,37.4700629998952,서비스업
21394.0,12103000,르브래드랩,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,126.725155347789,37.4936945724034,외식업
21304.0,12103498,미장쎈,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.70235133781,37.5182425455679,서비스업
21390.0,12125111,마늘보쌈,,Q,음식,Q01,한식,Q01A08,족발/보쌈전문,I56111,한식 음식점업,126.722973275816,37.4976535598199,외식업
21426.0,12175988,소망중고가전가구알뜰매장,,D,소매,D24,중고품소매/교환,D24A03,중고가전가구,,,126.730833427875,37.4869348988503,소매업
21360.0,12177801,온라인공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,126.729782941213,37.4995560757799,서비스업
21337.0,12214390,인천컴퓨터수리,,F,생활서비스,F03,개인/가정용품수리,F03A07,컴퓨터수리,S95121,컴퓨터 및 사무용 기기 수리업,126.727345068885,37.5079274359833,서비스업
21345.0,12199910,하늘그린꿈창작미술교습소,,R,학문/교육,R05,학원-음악미술무용,R05A01,서예/서화/미술,P85620,예술 학원,126.738958722834,37.5040243937347,서비스업
21401.0,12210876,애플24시편의점,,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.736536900064,37.4920328103509,소매업
21344.0,12126519,olleh나린삼산점,나린삼산점,D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,126.735460261237,37.5082668865964,소매업
21391.0,12181281,태경안마원,,N,관광/여가/오락,N05,요가/단전/마사지,N05A04,지압원,Q86902,유사 의료업,126.725152612212,37.4971815334814,서비스업
21312.0,12118028,더퍼스트헤어,부평점,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.704181073621,37.513171837563,서비스업
21344.0,12224676,아이엠에이실용음악학원,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,126.735460261237,37.5082668865964,서비스업
21360.0,12099264,오나현헤어갤러리,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.726425196703,37.4988261268915,서비스업
